9525.3,9016.9,-61306,9.0169,-61.306
10612,8122.8,-55613,8.1228,-55.613
11825,7306.2,-50392,7.3062,-50.392
13176,6569.9,-45692,6.5699,-45.692
14684,5895.1,-41406,5.8951,-41.406
16361,5283.2,-37535,5.2832,-37.535
18228,4728.7,-33999,4.7287,-33.999
20314,4231.7,-30840,4.2317,-30.84
22632,3779.1,-27969,3.7791,-27.969
25221,3361.2,-25342,3.3612,-25.342
28098,2988.5,-22970,2.9885,-22.97
31309,2648.8,-20832,2.6488,-20.832
34891,2341.9,-18876,2.3419,-18.876
38874,2065.7,-17100,2.0657,-17.1
43316,1816.9,-15477,1.8169,-15.477
48267,1593.7,-14009,1.5937,-14.009
53784,1395.1,-12672,1.3951,-12.672
59929,1217.9,-11446,1.2179,-11.446
66778,1055.4,-10347,1.0554,-10.347
74405,909.05,-9353.7,0.90905,-9.3537
82907,780.8,-8452.8,0.7808,-8.4528
92382,669.58,-7635.1,0.66958,-7.6351
1.0294e+05,574.39,-6893.9,0.57439,-6.8939
1.147e+05,493.97,-6222,0.49397,-6.222
1.2781e+05,426.4,-5611.9,0.4264,-5.6119
1.4241e+05,368.87,-5057.1,0.36887,-5.0571
1.5868e+05,318.76,-4557.2,0.31876,-4.5572
1.7682e+05,275.78,-4105,0.27578,-4.105
1.9702e+05,238.9,-3696.9,0.2389,-3.6969
2.1953e+05,207.23,-3328.4,0.20723,-3.3284
2.4462e+05,180.16,-2996.1,0.18016,-2.9961
2.7257e+05,157.12,-2696.4,0.15712,-2.6964
3.0372e+05,137.58,-2426.4,0.13758,-2.4264
3.3842e+05,121.16,-2182.7,0.12116,-2.1827
3.7709e+05,107.23,-1963.2,0.10723,-1.9632
4.2018e+05,95.421,-1765.4,0.095421,-1.7654
4.682e+05,85.459,-1587.3,0.085459,-1.5873
5.2169e+05,76.93,-1426.8,0.07693,-1.4268
5.8131e+05,69.698,-1282.4,0.069698,-1.2824
6.4773e+05,63.706,-1152.5,0.063706,-1.1525
7.2175e+05,58.522,-1035.6,0.058522,-1.0356
8.0422e+05,53.981,-930.27,0.053981,-0.93027
8.9612e+05,50.067,-835.5,0.050067,-0.8355
9.9852e+05,46.742,-750.32,0.046742,-0.75032
1.1126e+06,43.95,-673.74,0.04395,-0.67374
1.2397e+06,41.562,-604.69,0.041562,-0.60469
1.3814e+06,39.588,-542.56,0.039588,-0.54256
1.5393e+06,37.938,-486.65,0.037938,-0.48665
1.7152e+06,36.537,-436.27,0.036537,-0.43627
1.9111e+06,35.337,-390.93,0.035337,-0.39093
2.1295e+06,34.326,-350.06,0.034326,-0.35006
2.3729e+06,33.468,-313.2,0.033468,-0.3132
2.644e+06,32.738,-279.91,0.032738,-0.27991
2.9461e+06,32.108,-249.85,0.032108,-0.24985
3.2828e+06,31.565,-222.67,0.031565,-0.22267
3.6579e+06,31.092,-198.07,0.031092,-0.19807
4.0759e+06,30.675,-175.75,0.030675,-0.17575
4.5416e+06,31,-154.52,0.031,-0.15452
5.0606e+06,30.923,-135.73,0.030923,-0.13573
5.6388e+06,30.419,-119.31,0.030419,-0.11931
6.2832e+06,29.554,-105.07,0.029554,-0.10507
125.66,9.5372e+05,-2.6498e+06,953.72,-2649.8
138.23,1.1601e+06,-1.9584e+06,1160.1,-1958.4
157.08,1.1132e+06,-1.5425e+06,1113.2,-1542.5
175.93,1.0109e+06,-1.3037e+06,1010.9,-1303.7
194.78,9.029e+05,-1.1656e+06,902.9,-1165.6
213.63,7.6614e+05,-1.162e+06,766.14,-1162
238.76,6.7489e+05,-1.095e+06,674.89,-1095
270.18,5.9358e+05,-1.0403e+06,593.58,-1040.3
301.59,5.2144e+05,-9.6576e+05,521.44,-965.76
333.01,4.5626e+05,-8.9785e+05,456.26,-897.85
370.71,4.0537e+05,-8.3815e+05,405.37,-838.15
414.69,3.5489e+05,-7.8062e+05,354.89,-780.62
458.67,3.1629e+05,-7.205e+05,316.29,-720.5
515.22,2.8021e+05,-6.654e+05,280.21,-665.4
571.77,2.4931e+05,-6.1662e+05,249.31,-616.62
634.6,2.2232e+05,-5.7076e+05,222.32,-570.76
710,1.9775e+05,-5.26e+05,197.75,-526
791.68,1.7573e+05,-4.8624e+05,175.73,-486.24
879.65,1.564e+05,-4.4875e+05,156.4,-448.75
980.18,1.3855e+05,-4.1382e+05,138.55,-413.82
1093.3,1.2261e+05,-3.8103e+05,122.61,-381.03
1218.9,1.0816e+05,-3.5102e+05,108.16,-351.02
1357.2,94762,-3.226e+05,94.762,-322.6
1514.2,82942,-2.9607e+05,82.942,-296.07
1683.9,72348,-2.7111e+05,72.348,-271.11
1878.7,62973,-2.4815e+05,62.973,-248.15
2092.3,54855,-2.2694e+05,54.855,-226.94
2331.1,47695,-2.0711e+05,47.695,-207.11
2601.2,41452,-1.8873e+05,41.452,-188.73
2896.5,36090,-1.7194e+05,36.09,-171.94
3229.6,31405,-1.5624e+05,31.405,-156.24
3594,27389,-1.4194e+05,27.389,-141.94
4008.7,23942,-1.2872e+05,23.942,-128.72
4467.3,20985,-1.1676e+05,20.985,-116.76
4976.3,18476,-1.0591e+05,18.476,-105.91
5541.8,16312,-95945,16.312,-95.945
6176.4,14443,-87019,14.443,-87.019
6886.4,12821,-78867,12.821,-78.867
7671.8,11429,-71432,11.429,-71.432
8545.1,10221,-64787,10.221,-64.787
9525.3,9153.7,-58699,9.1537,-58.699
10612,8220.8,-53229,8.2208,-53.229
11825,7387.8,-48218,7.3878,-48.218
13176,6642.8,-43666,6.6428,-43.666
14684,5979.9,-39605,5.9799,-39.605
16361,5379.9,-35880,5.3799,-35.88
18228,4848.1,-32507,4.8481,-32.507
20314,4372.4,-29504,4.3724,-29.504
22632,3933.9,-26754,3.9339,-26.754
25221,3537,-24287,3.537,-24.287
28098,3172.4,-22015,3.1724,-22.015
31309,2842.1,-19976,2.8421,-19.976
34891,2539.1,-18122,2.5391,-18.122
38874,2262.8,-16424,2.2628,-16.424
43316,2009.6,-14883,2.0096,-14.883
48267,1781.5,-13488,1.7815,-13.488
53784,1570.9,-12217,1.5709,-12.217
59929,1395.4,-11059,1.3954,-11.059
66778,1225.9,-10014,1.2259,-10.014
74405,1068.5,-9073.6,1.0685,-9.0736
82907,925.64,-8218.6,0.92564,-8.2186
92382,799.09,-7441,0.79909,-7.441
1.0294e+05,688.12,-6732.6,0.68812,-6.7326
1.147e+05,592.89,-6087.2,0.59289,-6.0872
1.2781e+05,511.82,-5499.3,0.51182,-5.4993
1.4241e+05,445.01,-4962.7,0.44501,-4.9627
1.5868e+05,385.4,-4477.7,0.3854,-4.4777
1.7682e+05,333.8,-4038.3,0.3338,-4.0383
1.9702e+05,289.12,-3641.2,0.28912,-3.6412
2.1953e+05,250.44,-3282.2,0.25044,-3.2822
2.4462e+05,217.26,-2957.8,0.21726,-2.9578
2.7257e+05,188.78,-2664.4,0.18878,-2.6644
3.0372e+05,164.51,-2399.5,0.16451,-2.3995
3.3842e+05,143.91,-2160.1,0.14391,-2.1601
3.7709e+05,126.51,-1944.1,0.12651,-1.9441
4.2018e+05,111.74,-1749.2,0.11174,-1.7492
4.682e+05,99.179,-1573.6,0.099179,-1.5736
5.2169e+05,88.496,-1415.3,0.088496,-1.4153
5.8131e+05,79.46,-1272.7,0.07946,-1.2727
6.4773e+05,71.947,-1144.2,0.071947,-1.1442
7.2175e+05,65.458,-1028.4,0.065458,-1.0284
8.0422e+05,59.825,-924.22,0.059825,-0.92422
8.9612e+05,55.003,-830.48,0.055003,-0.83048
9.9852e+05,50.882,-745.95,0.050882,-0.74595
1.1126e+06,47.382,-669.87,0.047382,-0.66987
1.2397e+06,44.484,-601.41,0.044484,-0.60141
1.3814e+06,42.064,-539.71,0.042064,-0.53971
1.5393e+06,40.055,-484.08,0.040055,-0.48408
1.7152e+06,38.34,-433.98,0.03834,-0.43398
1.9111e+06,36.904,-388.94,0.036904,-0.38894
2.1295e+06,35.677,-348.31,0.035677,-0.34831
2.3729e+06,34.63,-311.67,0.03463,-0.31167
2.644e+06,33.739,-278.58,0.033739,-0.27858
2.9461e+06,32.991,-248.72,0.032991,-0.24872
3.2828e+06,32.352,-221.69,0.032352,-0.22169
3.6579e+06,31.812,-197.19,0.031812,-0.19719
4.0759e+06,31.341,-174.97,0.031341,-0.17497
4.5416e+06,31.641,-153.85,0.031641,-0.15385
5.0606e+06,31.544,-135.15,0.031544,-0.13515
5.6388e+06,31.019,-118.8,0.031019,-0.1188
6.2832e+06,30.132,-104.61,0.030132,-0.10461
125.66,1.0679e+06,-1.8831e+06,1067.9,-1883.1
138.23,1.1922e+06,-1.2286e+06,1192.2,-1228.6
157.08,1.093e+06,-8.9127e+05,1093,-891.27
175.93,9.8056e+05,-7.3012e+05,980.56,-730.12
194.78,8.861e+05,-6.5923e+05,886.1,-659.23
213.63,8.1794e+05,-7.3268e+05,817.94,-732.68
238.76,7.3491e+05,-7.2184e+05,734.91,-721.84
270.18,6.5875e+05,-7.1593e+05,658.75,-715.93
301.59,5.7962e+05,-6.8684e+05,579.62,-686.84
333.01,5.1361e+05,-6.5498e+05,513.61,-654.98
370.71,4.5606e+05,-6.2559e+05,456.06,-625.59
414.69,4.0673e+05,-5.9752e+05,406.73,-597.52
458.67,3.632e+05,-5.6666e+05,363.2,-566.66
515.22,3.2122e+05,-5.3279e+05,321.22,-532.79
571.77,2.8353e+05,-5.0075e+05,283.53,-500.75
634.6,2.4899e+05,-4.7052e+05,248.99,-470.52
710,2.1952e+05,-4.3684e+05,219.52,-436.84
791.68,1.9431e+05,-4.0615e+05,194.31,-406.15
879.65,1.7184e+05,-3.7724e+05,171.84,-377.24
980.18,1.5265e+05,-3.4965e+05,152.65,-349.65
